"","AUC_CV","C","sigma","AUC_Test","TPR","ACC","Nsv"
"67",0.848494098651523,1,0.1,84.6791384126184,0.806946714829362,0.776005547850208,2566
"68",0.843500786609867,1,0.1,84.7897677078725,0.808948143108061,0.778085991678225,2567
"69",0.843720459713184,1,0.1,84.7201302445779,0.782745921012455,0.767683772538141,2597
"70",0.844386039081523,1,0.1,84.5478046153033,0.799808312726887,0.774156264447527,2582
"71",0.834588943291256,1,0.1,84.5317532020154,0.796606043597021,0.764447526583449,2654
"72",0.840603548390827,1,0.1,84.8261216902246,0.784574451494146,0.767452612112806,2580
"73",0.844938340209897,1,0.1,84.5894039185077,0.78976529451558,0.768839574664817,2577
"74",0.838632752198226,1,0.1,84.567153403081,0.796655470987334,0.759824318076745,2610
"75",0.829599273234376,1,0.1,84.7329783852245,0.800793912268617,0.75959315765141,2651
"76",0.847129663127473,1,0.1,84.4649269838232,0.802133511390916,0.773000462320851,2566
"77",0.860068479323178,1,0.1,84.4645423853775,0.795355854220214,0.780628756356912,2469
"78",0.824602243802761,1,0.1,84.6524064395228,0.764147773653902,0.746185852981969,2618
"79",0.8394907986055,1,0.1,84.5699476946114,0.804538792451706,0.77207582061951,2565
"80",0.859775410821948,1,0.1,84.4625220529777,0.808583563395389,0.789875173370319,2416
"81",0.85300489416195,1,0.1,84.6650619952122,0.819729080984197,0.781784558483588,2520
"82",0.848635024340091,1,0.1,84.4304919934185,0.809496167882627,0.773925104022191,2531
"83",0.838047527549414,1,0.1,84.9670220643309,0.787254081346273,0.762598243180767,2587
"84",0.834063536025116,1,0.1,84.8434853861734,0.792164609763929,0.766527970411466,2615
"85",0.838985775122545,1,0.1,84.7482011688745,0.796400167493106,0.770226537216828,2579
"86",0.838937705458164,1,0.1,84.6420403779984,0.788068256899426,0.765141007859454,2604
"87",0.837283562961304,1,0.1,84.5285017355124,0.78964666560008,0.764909847434119,2584
"88",0.847512261629911,1,0.1,84.6255980801089,0.803829236705212,0.774387424872862,2539
"89",0.846203586900683,1,0.1,84.5162955447232,0.798651571542703,0.776930189551549,2527
"90",0.837548064954098,1,0.1,84.6334948253127,0.789585818006821,0.766990291262136,2568
"91",0.838253567150904,1,0.1,84.9097913773448,0.791511947404396,0.769764216366158,2575
"92",0.845391808466992,1,0.1,84.116672615021,0.809559842915129,0.778085991678225,2540
"93",0.841211120762408,1,0.1,84.2635153113232,0.788024787269862,0.767452612112806,2600
"94",0.835643579837177,1,0.1,84.5202024858432,0.798566820219966,0.76537216828479,2612
"95",0.842002149759798,1,0.1,84.7352177806319,0.802716662840362,0.776699029126214,2598
"96",0.833426562907605,1,0.1,84.6942133763606,0.783037280254234,0.761211280628756,2627
"97",0.84803332115744,1,0.1,84.5697478710504,0.798830788176487,0.777161349976884,2507
"98",0.841344964798639,1,0.1,84.4942233275358,0.796966955676799,0.77253814147018,2595
"99",0.82968764139765,1,0.1,84.6860769952754,0.781212928415967,0.758206195099399,2630
"100",0.839984904020775,1,0.1,84.7447858813396,0.791121595986807,0.768146093388812,2591
"101",0.841371585033029,1,0.1,84.8822315365696,0.792561369902431,0.761904761904762,2567
"102",0.837726129429606,1,0.1,85.0575914742354,0.796553658826281,0.768377253814147,2635
"103",0.840822442253822,1,0.1,84.3550480269928,0.797107876513855,0.767914932963477,2533
"104",0.836693248428314,1,0.1,84.8035860119088,0.804095660900423,0.77161349976884,2590
"105",0.836873873935283,1,0.1,84.6899696496775,0.789397409153151,0.76629680998613,2566
"106",0.84257766994701,1,0.1,84.6144812991815,0.79998671811675,0.771844660194175,2523
"107",0.840718452299262,1,0.1,84.401328611427,0.796499862262334,0.766527970411466,2555
"108",0.844332758777865,1,0.1,84.3575445833223,0.799444013342602,0.771382339343504,2540
"109",0.829496422959662,1,0.1,84.6322749300941,0.793811128472999,0.767914932963477,2623
"110",0.83783400454451,1,0.1,84.6934319881366,0.795647668669821,0.773462783171521,2613
"111",0.850391878644079,1,0.1,84.5842079344545,0.794163369059635,0.77207582061951,2511
"112",0.844956198388258,1,0.1,84.2694383940723,0.801526109126357,0.776699029126214,2566
"113",0.849487956451607,1,0.1,84.5619174162177,0.793041269511387,0.774387424872862,2500
"114",0.848180938284791,1,0.1,84.4504225363488,0.804433011419432,0.779241793804901,2550
"115",0.852963563710592,1,0.1,84.4549632362746,0.806252643506711,0.781784558483588,2523
"116",0.839387889317969,1,0.1,84.5992480386051,0.797832793289139,0.772306981044845,2601
"117",0.842248644024072,1,0.1,84.7360344094267,0.798030598479875,0.773925104022191,2584
"118",0.839586946592893,1,0.1,84.8265516251885,0.800500357214941,0.774156264447527,2582
"119",0.836688931827325,1,0.1,84.7494444943104,0.786959228135699,0.762598243180767,2665
"120",0.833658039326792,1,0.1,84.8854542391473,0.776850531891303,0.757512713823393,2628
"121",0.842603536361811,1,0.1,84.7899879138176,0.787191156867198,0.765603328710125,2599
"122",0.83892495780673,1,0.1,84.8010498337483,0.790388729495014,0.77207582061951,2599
"123",0.845211939183311,1,0.1,84.3394484549696,0.803061135835179,0.775774387424873,2528
"124",0.844048188949583,1,0.1,84.4470874449237,0.788849863294172,0.771844660194175,2565
"125",0.838045978610682,1,0.1,84.768046181987,0.791495061495331,0.769764216366158,2563
